gene,id
MT-ND1,4535
MT-ND2,4536
MT-CO1,4512
MT-TS1,113219467
MT-CO2,4513
MT-ATP8,4509
MT-ATP6,4508
MT-CO3,4514
MT-ND3,4537
MT-ND4L,4539
MT-ND4,4538
MT-ND5,4540
MT-ND6,4541
MT-CYB,4519
PCMTD2,55251
OPRL1,4987
NPBWR2,2832
MYT1,4661
KIR2DS4,3809
KIR2DL2,3803
KIR3DL3,115653
LILRP2,79166
INTS3,65123
KIR2DL4,3805
KIR2DL4,3805
LILRP2,79166
KIR2DL2,3803
KIR3DL1,3811
KIR2DL1,3802
KIR2DL1,3802
LILRP2,79166
KIR2DS4,3809
KIR2DL3,3804
KIR2DL3,3804
FCAR,2204
KIR3DL2,3812
LILRP2,79166
KIR2DL1,3802
KIR3DL1,3811
KIR3DL1,3811
KIR3DL1,3811
PPIAL4F,728945
KIR2DS5,3810
RNVU1-2A,6063
KIR2DS2,100132285
KIR2DL5B,553128
KIR2DL4,3805
KIR3DL2,3812
KIR2DL1,3802
KIR3DL3,115653
KIR2DS3,3808
KIR3DL2,3812
KIR2DL4,3805
KIR3DL1,3811
KIR3DL3,115653
KIR2DS4,3809
KIR2DS2,100132285
KIR2DS4,3809
DNAH10,196385
KIR2DS2,100132285
KIR2DL4,3805
LILRP2,79166
KIR2DL3,3804
KIR2DL4,3805
KIR2DS2,100132285
KIR3DL3,115653
KIR2DS1,3806
KIR3DL1,3811
KIR3DL1,3811
KIR3DL3,115653
KIR2DS2,100132285
KIR2DL1,3802
KIR2DS4,3809
KIR2DL3,3804
KIR2DS4,3809
NCR1,9437
KIR2DL4,3805
KIR2DL2,3803
KIR3DL1,3811
KIR2DL4,3805
KIR2DS3,3808
KIR3DL1,3811
KIR2DL5A,57292
KIR2DL4,3805
LILRP2,79166
KIR2DL1,3802
KIR2DL4,3805
KIR2DS5,3810
KIR2DL2,3803
LINC02054,105374250
KIR2DL5B,553128
CCDC92,80212
KIR3DL3,115653
KIR3DS1,3813
KIR3DL1,3811
KIR3DL3,115653
KIR3DL2,3812
NCR1,9437
KIR2DL4,3805
FCAR,2204
KIR3DL1,3811
KIR3DL2,3812
KIR2DL1,3802
KIR2DL4,3805
GATAD2B,57459
KIR2DS4,3809
KIR2DL1,3802
KIR3DL3,115653
KIR3DL1,3811
LILRP2,79166
KIR3DS1,3813
OR9G4,283189
KIR2DS4,3809
SLC27A3,11000
KIR2DL3,3804
KIR3DL1,3811
KIR2DL2,3803
KIR3DL2,3812
KIR2DL3,3804
KIR3DL2,3812
KIR3DL3,115653
RNA5-8SN5,100008587
KIR2DL1,3802
KIR2DS4,3809
KIR3DL2,3812
OR9G1,390174
KIR2DL4,3805
KIR3DL3,115653
OR9G9,504191
KIR3DL2,3812
LINC02735,101927120
FCAR,2204
KIR3DL3,115653
LINC00254,64735
KIR2DL1,3802
HS3ST6,64711
