gene,id
mt-Nd1,17716
mt-Nd2,17717
mt-Co1,17708
mt-Co2,17709
mt-Atp8,17706
mt-Atp6,17705
mt-Co3,17710
mt-Nd3,17718
mt-Nd4l,17720
mt-Nd4,17719
mt-Nd5,17721
mt-Nd6,17722
mt-Cytb,17711
Vmn1r186,100039479
Csprs,114564
Gm16367,545762
Gm21127,108168549
Gm20816,100039810
Gm20816,100861743
Gm20816,100862360
Gm20816,108168596
Gm20818,108168663
Gm21151,108168603
Gm21160,108168608
Gm20932,108168604
Gm21524,108168600
Gm28079,75204
Gm21672,100862360
Gm21118,100861667
4932431L22Rik,619557
Gm20888,108168524
Gm20888,108168527
Gm20888,108168532
Gm20888,108168595
Gm28840,102632557
Gm20866,108168528
Gm21184,108168664
Gm21201,108168607
Gm20853,108168615
Gm20870,73329
Gm20842,100040429
Gm20855,108168545
Gm20843,108168524
Gm20843,108168530
Gm20843,108168532
Gm20843,108168595
Gm20844,108168612
Gm20798,108168649
Gm20846,108168580
Gm20847,108168624
Gm20848,108168623
Gm20800,108168651
Gm21683,100862371
Gm20896,108168555
Gm20898,100042013
Gm20902,108168561
Gm20903,100042110
Gm20835,108168509
Gm20805,108168562
Gm20905,108168510
Gm21076,108168670
Gm20813,108168671
Gm20738,382133
Gm20738,108168660
Gm20814,108167378
Gm21111,108168576
Gm20850,100040712
Gm20897,108168548
Gm21155,108168605
Gm21163,108168659
Gm21180,100861743
Gm20859,108168556
Gm21638,108168532
Gm21865,108168511
Gm21650,108168524
Gm21650,108168532
Gm21650,108168533
Gm21650,108168595
Gm20793,100039014
Gm20867,100041256
Gm20867,100861743
Gm20867,100862360
Gm20867,108168574
Gm20867,108168596
Gm21198,108168592
Gm20795,100039034
Gm20795,100040335
Gm20795,100862345
Gm20827,100040171
Gm20808,108168606
Gm20806,100039574
Gm20806,100040429
Gm20806,100042268
Gm20806,100042475
Gm20806,100861821
Gm20806,108168537
Gm20806,108168538
Gm20806,108168539
Gm20806,108168540
Gm20806,108168541
Gm20806,108168542
Gm20806,108168543
Gm20806,108168549
Gm20806,108168550
Gm20806,108168556
Gm20806,108168561
Gm20806,108168562
Gm20806,108168563
Gm20806,108168665
Gm20806,118567358
Gm20919,108168610
Gm21774,118568463
Gm20917,100042428
Gm20917,108168609
Gm20916,100042417
Gm21873,118568456
Gm21257,108168621
Gm20841,108168563
Gm21856,118568465
Gm21282,108168656
Gm21779,118568466
Gm20911,108168582
Gm20912,108168655
Gm20801,108168629
Gm21317,100861906
Gm21333,108168616
Gm21247,108168661
Gm21344,108168611
Gm20849,118568457
Gm28603,118568467
Gm20862,108168571
Gm20863,108168668
Gm21281,108168635
Gm21380,108168567
Gm21394,108168579
Gm28553,108168590
Gm21409,100862025
Gm21209,108168515
Gm21209,108168524
Gm21209,108168532
Gm21209,108168595
Gm20854,100040911
Gm20854,108168565
Gm21435,108168577
Gm20880,108168516
Gm20881,108168540
Gm20861,108168667
Gm20860,108168566
Gm20883,108168553
Gm20889,108168646
Gm21462,108168666
